[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/Weibo/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000607s ]
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/Weibo/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000681s ]
[ 2014-08-28T00:01:37+08:00 ] /v/admin.php/System/index | INFO: Tag[ route_check ] --START--
[ 2014-08-28T00:01:37+08:00 ] /v/admin.php/System/index | INFO: Run CheckRoute Behavior [ RunTime:0.000830s ]
[ 2014-08-28T00:01:37+08:00 ] /v/admin.php/System/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000937s ]
[ 2014-08-28T00:01:37+08:00 ] /v/admin.php/System/index | INFO: Tag[ app_begin ] --START--
[ 2014-08-28T00:01:37+08:00 ] /v/admin.php/System/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000558s ]
[ 2014-08-28T00:01:37+08:00 ] /v/admin.php/System/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000617s ]
[ 2014-08-28T00:01:37+08:00 ] /v/admin.php/System/index | INFO: Tag[ view_template ] --START--
[ 2014-08-28T00:01:37+08:00 ] /v/admin.php/System/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000622s ]
[ 2014-08-28T00:01:37+08:00 ] /v/admin.php/System/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000684s ]
[ 2014-08-28T00:01:37+08:00 ] /v/admin.php/System/index | INFO: Tag[ view_parse ] --START--
[ 2014-08-28T00:01:37+08:00 ] /v/admin.php/System/index | INFO: Run ParseTemplate Behavior [ RunTime:0.007040s ]
[ 2014-08-28T00:01:37+08:00 ] /v/admin.php/System/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007112s ]
[ 2014-08-28T00:01:37+08:00 ] /v/admin.php/System/index | INFO: Tag[ view_filter ] --START--
[ 2014-08-28T00:01:37+08:00 ] /v/admin.php/System/index | INFO: Run ContentReplace Behavior [ RunTime:0.000539s ]
[ 2014-08-28T00:01:37+08:00 ] /v/admin.php/System/index | INFO: Run TokenBuild Behavior [ RunTime:0.000553s ]
[ 2014-08-28T00:01:37+08:00 ] /v/admin.php/System/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000394s ]
[ 2014-08-28T00:01:37+08:00 ] /v/admin.php/System/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000613s ]
[ 2014-08-28T00:01:37+08:00 ] /v/admin.php/System/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002263s ]
[ 2014-08-28T00:01:37+08:00 ] /v/admin.php/System/index | INFO: Tag[ view_end ] --START--
[ 2014-08-28T00:01:37+08:00 ] /v/admin.php/System/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000523s ]
[ 2014-08-28T00:01:37+08:00 ] /v/admin.php/System/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000579s ]
