[ 2014-08-27T22:19:06+08:00 ] /v/ | INFO: Tag[ app_begin ] --START--
[ 2014-08-27T22:19:26+08:00 ] /v/Index/editStyle | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000649s ]
[ 2014-08-27T22:19:26+08:00 ] /v/Index/editStyle | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000723s ]
[ 2014-08-27T22:19:26+08:00 ] /v/Index/editStyle | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2014-08-27T22:19:26+08:00 ] /v/Index/editStyle | SQL: SHOW COLUMNS FROM `hd_userinfo` [ RunTime:0.003436s ]
[ 2014-08-27T22:19:26+08:00 ] /v/Index/editStyle | SQL: UPDATE `hd_userinfo` SET `style`='style3' WHERE ( `uid` = '1' ) [ RunTime:0.000455s ]
[ 2014-08-27T22:19:26+08:00 ] /v/ | INFO: Tag[ app_begin ] --START--
[ 2014-08-27T22:19:26+08:00 ] /v/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000629s ]
[ 2014-08-27T22:19:26+08:00 ] /v/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000745s ]
[ 2014-08-27T22:19:26+08:00 ] /v/ | SQL: SHOW COLUMNS FROM `hd_follow` [ RunTime:0.002871s ]
[ 2014-08-27T22:19:26+08:00 ] /v/ | SQL: SELECT `follow` FROM `hd_follow` WHERE ( `fans` = '1' )  [ RunTime:0.000227s ]
[ 2014-08-27T22:19:26+08:00 ] /v/ | SQL: SHOW COLUMNS FROM `hd_weibo` [ RunTime:0.003067s ]
[ 2014-08-27T22:19:26+08:00 ] /v/ | SQL: SHOW COLUMNS FROM `hd_userinfo` [ RunTime:0.002922s ]
[ 2014-08-27T22:19:26+08:00 ] /v/ | SQL: SHOW COLUMNS FROM `hd_picture` [ RunTime:0.002530s ]
[ 2014-08-27T22:19:26+08:00 ] /v/ | SQL: SELECT COUNT(*) AS tp_count FROM hd_weibo weibo LEFT JOIN hd_userinfo userinfo ON weibo.uid = userinfo.uid LEFT JOIN hd_picture picture ON weibo.id = picture.wid WHERE ( weibo.uid IN ('1','3','2','0','0') ) LIMIT 1   [ RunTime:0.000307s ]
[ 2014-08-27T22:19:26+08:00 ] /v/ | SQL: SELECT weibo.id AS id,weibo.content AS content,weibo.isturn AS isturn,weibo.time AS time,weibo.turn AS turn,weibo.keep AS keep,weibo.comment AS comment,weibo.uid AS uid,userinfo.username AS username,userinfo.face50 AS face,picture.mini AS mini,picture.medium AS medium,picture.max AS max FROM hd_weibo weibo LEFT JOIN hd_userinfo userinfo ON weibo.uid = userinfo.uid LEFT JOIN hd_picture picture ON weibo.id = picture.wid WHERE ( weibo.uid IN ('1','3','2','0','0') ) ORDER BY weibo.time DESC LIMIT 0,20   [ RunTime:0.001249s ]
[ 2014-08-27T22:19:26+08:00 ] /v/ | SQL: SELECT weibo.id AS id,weibo.content AS content,weibo.isturn AS isturn,weibo.time AS time,weibo.turn AS turn,weibo.keep AS keep,weibo.comment AS comment,weibo.uid AS uid,userinfo.username AS username,userinfo.face50 AS face,picture.mini AS mini,picture.medium AS medium,picture.max AS max FROM hd_weibo weibo LEFT JOIN hd_userinfo userinfo ON weibo.uid = userinfo.uid LEFT JOIN hd_picture picture ON weibo.id = picture.wid WHERE ( weibo.id = '15' ) LIMIT 1   [ RunTime:0.000313s ]
[ 2014-08-27T22:19:26+08:00 ] /v/ | SQL: SELECT weibo.id AS id,weibo.content AS content,weibo.isturn AS isturn,weibo.time AS time,weibo.turn AS turn,weibo.keep AS keep,weibo.comment AS comment,weibo.uid AS uid,userinfo.username AS username,userinfo.face50 AS face,picture.mini AS mini,picture.medium AS medium,picture.max AS max FROM hd_weibo weibo LEFT JOIN hd_userinfo userinfo ON weibo.uid = userinfo.uid LEFT JOIN hd_picture picture ON weibo.id = picture.wid WHERE ( weibo.id = '15' ) LIMIT 1   [ RunTime:0.000317s ]
[ 2014-08-27T22:19:27+08:00 ] /v/ | SQL: SELECT weibo.id AS id,weibo.content AS content,weibo.isturn AS isturn,weibo.time AS time,weibo.turn AS turn,weibo.keep AS keep,weibo.comment AS comment,weibo.uid AS uid,userinfo.username AS username,userinfo.face50 AS face,picture.mini AS mini,picture.medium AS medium,picture.max AS max FROM hd_weibo weibo LEFT JOIN hd_userinfo userinfo ON weibo.uid = userinfo.uid LEFT JOIN hd_picture picture ON weibo.id = picture.wid WHERE ( weibo.id = '15' ) LIMIT 1   [ RunTime:0.000255s ]
[ 2014-08-27T22:19:27+08:00 ] /v/ | SQL: SELECT weibo.id AS id,weibo.content AS content,weibo.isturn AS isturn,weibo.time AS time,weibo.turn AS turn,weibo.keep AS keep,weibo.comment AS comment,weibo.uid AS uid,userinfo.username AS username,userinfo.face50 AS face,picture.mini AS mini,picture.medium AS medium,picture.max AS max FROM hd_weibo weibo LEFT JOIN hd_userinfo userinfo ON weibo.uid = userinfo.uid LEFT JOIN hd_picture picture ON weibo.id = picture.wid WHERE ( weibo.id = '15' ) LIMIT 1   [ RunTime:0.000273s ]
[ 2014-08-27T22:19:27+08:00 ] /v/ | SQL: SELECT weibo.id AS id,weibo.content AS content,weibo.isturn AS isturn,weibo.time AS time,weibo.turn AS turn,weibo.keep AS keep,weibo.comment AS comment,weibo.uid AS uid,userinfo.username AS username,userinfo.face50 AS face,picture.mini AS mini,picture.medium AS medium,picture.max AS max FROM hd_weibo weibo LEFT JOIN hd_userinfo userinfo ON weibo.uid = userinfo.uid LEFT JOIN hd_picture picture ON weibo.id = picture.wid WHERE ( weibo.id = '15' ) LIMIT 1   [ RunTime:0.000291s ]
[ 2014-08-27T22:19:27+08:00 ] /v/ | SQL: SELECT weibo.id AS id,weibo.content AS content,weibo.isturn AS isturn,weibo.time AS time,weibo.turn AS turn,weibo.keep AS keep,weibo.comment AS comment,weibo.uid AS uid,userinfo.username AS username,userinfo.face50 AS face,picture.mini AS mini,picture.medium AS medium,picture.max AS max FROM hd_weibo weibo LEFT JOIN hd_userinfo userinfo ON weibo.uid = userinfo.uid LEFT JOIN hd_picture picture ON weibo.id = picture.wid WHERE ( weibo.id = '15' ) LIMIT 1   [ RunTime:0.000296s ]
